CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate
48104886089668,0691122,10678,Active,Solano,Solano County Office of Education,Solano County Community,Golden Hills Education Center 2460 Clay Bank Road (Building 1),Golden Hills Education Ctr. 2460 Clay Bank Rd. (Building 1),Fairfield,94533,CA,Golden Hills Education Center 2460 Clay Bank Road (Building 1),Golden Hills Education Ctr. 2460 Clay Bank Rd. (Building 1),Fairfield,94533,CA,(707) 399-4834,,www.solanocoe.net,1980-07-01,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,7-12,P,0,38.271411,-122.00674,Rick,Vaccaro,rvaccaro@solanocoe.net,,,,,,,2015-06-18
48705240118968,0604620,12327,Active,Solano,Benicia Unified,Community Day,426 East K Street,426 East K St.,Benicia,94510,CA,350 East K Street,350 East K St.,Benicia,94510,CA,(707) 747-8300,1239,www.beniciaunified.org,2008-10-01,,0,,,54,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,7-12,9-12,N,0,38.049961,-122.14958,Shelly,Nissen,snissen@beniciaunified.org,,,,,,,2015-06-18
48705244831004,0604620,00422,Active,Solano,Benicia Unified,Benicia High,1101 Military West,1101 Military West,Benicia,94510-2428,CA,1101 Military West,1101 Military West,Benicia,94510-2428,CA,(707) 747-8325,,www.beniciaunified.org/bhs,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,7-12,N,0,38.062989,-122.17349,Brianna,Kleinschmidt,bkleinschmidt@beniciaunified.org,,,,,,,2016-08-24
48705320102012,0611280,11236,Active,Solano,Dixon Unified,Dixon Community Day,295 East C Street,295 East C St.,Dixon,95620,CA,"180 South First Street, Suite 6","180 South First St., Ste. 6",Dixon,95620,CA,(707) 693-6340,,www.dixonusd.org,2003-08-23,,0,,,54,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,7-12,10-12,N,0,38.44755,-121.82001,Yvette,Ramos,yramos@dixonusd.org,,,,,,,2015-06-18
48705320122267,0611280,11473,Active,Solano,Dixon Unified,Dixon Montessori Charter,355 North Almond Street,355 North Almond St.,Dixon,95620-2702,CA,355 North Almond Street,355 North Almond St.,Dixon,95620-2702,CA,(707) 678-8953,,www.dixonmontessori.org,2010-08-11,,1,1210,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,38.447984,-121.83186,Joanne,Green,jgreen@dixonmontessori.org,,,,,,,2015-06-18
48705326051023,0611280,01250,Active,Solano,Dixon Unified,C. A. Jacobs Intermediate,200 North Lincoln Street,200 North Lincoln St.,Dixon,95620-3209,CA,200 North Lincoln Street,200 North Lincoln St.,Dixon,95620-3209,CA,(707) 693-6350,,www.dixonusd.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,7-8,7-8,N,0,38.446472,-121.83631,Dan,Bledsoe,dan.bledsoe@dixonusd.org,,,,,,,2015-10-13
48705326051049,0611280,01254,Active,Solano,Dixon Unified,Anderson (Linford L.) Elementary,415 East C Street,415 East C St.,Dixon,95620-2798,CA,415 East C Street,415 East C St.,Dixon,95620-2798,CA,(707) 693-6360,,www.schools.dixonusd.org/and/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.447479,-121.81808,Danielle,Sharp,danielle.sharp@dixonusd.org,,,,,,,2015-10-13
48705326110282,0611280,10328,Active,Solano,Dixon Unified,Tremont Elementary,355 Pheasant Run Drive,355 Pheasant Run Dr.,Dixon,95620-4219,CA,355 Pheasant Run Drive,355 Pheasant Run Dr.,Dixon,95620-4219,CA,(707) 693-6320,,www.dixonusd.org/tre,1991-09-29,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.448354,-121.84422,Tori,Halcon,tori.halcon@dixonusd.org,,,,,,,2016-08-18
48705326120240,0611280,10679,Active,Solano,Dixon Unified,Gretchen Higgins Elementary,1525 Pembroke Way,1525 Pembroke Way,Dixon,95620-4115,CA,1525 Pembroke Way,1525 Pembroke Way,Dixon,95620-4115,CA,(707) 678-6271,,www.dixonusd.org,2002-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.460755,-121.82889,Shawntel,McCammon,shawntel.mccammon@dixonusd.org,,,,,,,2015-10-13
48705400112664,0613360,11891,Active,Solano,Fairfield-Suisun Unified,Weir Preparatory Academy,1975 Pennsylvania Avenue,1975 Pennsylvania Ave.,Fairfield,94533-3643,CA,1975 Pennsylvania Avenue,1975 Pennsylvania Ave.,Fairfield,94533-3643,CA,(707) 399-3300,,www.fsusd.org,2006-08-28,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,38.265267,-122.04999,Jessica,Reed,jessicare@fsusd.org,,,,,,,2016-08-15
48705400112912,0613360,11867,Active,Solano,Fairfield-Suisun Unified,Fairfield-Suisun Elementary Community Day,1069 Meadowlark Drive,1069 Meadowlark Dr.,Fairfield,94533-2460,CA,1069 Meadowlark Drive,1069 Meadowlark Dr.,Fairfield,94533-2460,CA,(707) 420-2300,,www.fsusd.org,2006-08-28,,0,,,54,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,ELEM,Elementary,1-6,6,N,0,38.26813,-122.01243,Tanya,Gustin,tanyag@fsusd.org,,,,,,,2015-06-18
48705400113084,0613360,11995,Active,Solano,Fairfield-Suisun Unified,Rolling Hills Elementary,2025 Fieldcrest Avenue,2025 Fieldcrest Ave.,Fairfield,94534-7995,CA,2025 Fieldcrest Avenue,2025 Fieldcrest Ave.,Fairfield,94534-7995,CA,(707) 399-5000,,www.fsusd.org,2007-08-20,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.290818,-122.0405,Danny,Gentry,dannyg@fsusd.org,,,,,,,2015-08-21
48705400113092,0613360,11938,Active,Solano,Fairfield-Suisun Unified,Cordelia Hills Elementary,4770 Canyon Hills Drive,4770 Canyon Hills Dr.,Fairfield,94534-6449,CA,4770 Canyon Hills Drive,4770 Canyon Hills Dr.,Fairfield,94534-6449,CA,(707) 864-1905,,www.fsusd.org,2007-08-20,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.171141,-122.13268,Steve,Trotter,stevetr@fsusd.org,,,,,,,2016-08-15
48705400122093,0613360,12633,Active,Solano,Fairfield-Suisun Unified,H. Glenn Richardson,1069 Meadowlark Drive,1069 Meadowlark Dr.,Fairfield,94533-2460,CA,1069 Meadowlark Drive,1069 Meadowlark Dr.,Fairfield,94533-2460,CA,(707) 420-2300,,www.fsusd.org,2010-06-01,,0,,,54,Unified School District,09,Special Education Schools (Public),SPECON,District Special Education Consortia School,ELEMHIGH,Elementary-High Combination,K-12,2-12,N,0,38.26813,-122.01243,Tanya,Gustin,tanyag@fsusd.org,,,,,,,2015-06-18
48705400123356,0613360,12797,Active,Solano,Fairfield-Suisun Unified,Matt Garcia Career and College Academy,1100 Civic Center Drive,1100 Civic Center Dr.,Fairfield,94533-4806,CA,1100 Civic Center Drive,1100 Civic Center Dr.,Fairfield,94533-4806,CA,(707) 424-9400,,www.fsusd.org,2010-10-18,,0,,,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,0,38.253479,-122.04977,Jacqueline,Kearns,jacquelinek@fsusd.org,,,,,,,2015-10-28
48705400125310,0613360,13081,Active,Solano,Fairfield-Suisun Unified,Public Safety Academy,230 Atlantic Avenue,230 Atlantic Ave.,Fairfield,94533-1539,CA,230 Atlantic Avenue,230 Atlantic Ave.,Fairfield,94533-1539,CA,(707) 399-5099,,www.fsusd.org,2012-08-15,,0,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEMHIGH,Elementary-High Combination,5-12,5-11,N,0,38.277401,-122.03878,Laurie,Halcomb,laurieh@fsusd.org,,,,,,,2016-08-05
48705400128942,0613360,12909,Closed,Solano,Fairfield-Suisun Unified,Dover Bridge to Success,301 East Alaska Avenue,301 East Alaska Ave.,Fairfield,94533-2222,CA,301 East Alaska Avenue,301 East Alaska Ave.,Fairfield,94533-2222,CA,,,www.fsusd.org//domain/9,2013-08-14,2015-06-30,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,7-10,7-10,N,0,38.272621,-122.02916,,,,,,,,,,2015-07-01
48705404830170,0613360,10429,Active,Solano,Fairfield-Suisun Unified,Angelo Rodriguez High,5000 Red Top Road,5000 Red Top Rd.,Fairfield,94534-9527,CA,5000 Red Top Road,5000 Red Top Rd.,Fairfield,94534-9527,CA,(707) 863-7950,,www.fsusd.org,2001-08-27,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,38.197706,-122.14461,Clarence,Isadore,clarencei@fsusd.org,,,,,,,2015-06-18
48705404830451,0613360,01510,Active,Solano,Fairfield-Suisun Unified,Armijo High,824 Washington Street,824 Washington St.,Fairfield,94533-5541,CA,824 Washington Street,824 Washington St.,Fairfield,94533-5541,CA,(707) 422-7500,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,38.250617,-122.03907,Eric,Tretten,erict@fsusd.org,,,,,,,2015-06-18
48705404833000,0613360,01516,Active,Solano,Fairfield-Suisun Unified,Fairfield High,205 East Atlantic Avenue,205 East Atlantic Ave.,Fairfield,94533-1626,CA,205 East Atlantic Avenue,205 East Atlantic Ave.,Fairfield,94533-1626,CA,(707) 438-3000,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,38.276688,-122.03104,Will,Cushman,willc@fsusd.org,,,,,,,2016-08-16
48705404836003,0613360,01526,Active,Solano,Fairfield-Suisun Unified,Sem Yeto Continuation High,205 East Atlantic Avenue,205 East Atlantic Ave.,Fairfield,94533-1626,CA,205 East Atlantic Avenue,205 East Atlantic Ave.,Fairfield,94533-1626,CA,(707) 421-4271,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,N,0,38.276007,-122.03089,Sherry,McCormick,sherrym@fsusd.org,,,,,,,2015-07-10
48705406051064,0613360,01524,Active,Solano,Fairfield-Suisun Unified,Anna Kyle Elementary,1600 Kidder Avenue,1600 Kidder Ave.,Fairfield,94533-3914,CA,1600 Kidder Avenue,1600 Kidder Ave.,Fairfield,94533-3914,CA,(707) 421-4105,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.258479,-122.03011,Steve,Phillips,steveph@fsusd.org,,,,,,,2015-07-01
48705406051098,0613360,01520,Active,Solano,Fairfield-Suisun Unified,Cleo Gordon Elementary,1950 Dover Avenue,1950 Dover Ave.,Fairfield,94533-2345,CA,1950 Dover Avenue,1950 Dover Ave.,Fairfield,94533-2345,CA,(707) 421-4125,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.265957,-122.02488,Megan,Thole,megand@fsusd.org,,,,,,,2015-07-01
48705406051106,0613360,01514,Active,Solano,Fairfield-Suisun Unified,Crescent Elementary,1001 Anderson Drive,1001 Anderson Dr.,Suisun,94585,CA,1001 Anderson Drive,1001 Anderson Dr.,Suisun,94585,CA,(707) 435-2771,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.241883,-122.01282,Liza,Rios-Dinoffer,lizar@fsusd.org,,,,,,,2016-08-15
48705406051114,0613360,07282,Active,Solano,Fairfield-Suisun Unified,Crystal Middle,400 Whispering Bay Lane,400 Whispering Bay Ln.,Suisun City,94585-2862,CA,400 Whispering Bay Lane,400 Whispering Bay Ln.,Suisun City,94585-2862,CA,(707) 435-5800,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,38.24113,-122.03418,Monifa,Williams,monifaw@fsusd.org,,,,,,,2015-06-18
48705406051148,0613360,01527,Active,Solano,Fairfield-Suisun Unified,E. Ruth Sheldon Academy of Innovative Learning,1901 Woolner Avenue,1901 Woolner Ave.,Fairfield,94533-5809,CA,1901 Woolner Avenue,1901 Woolner Ave.,Fairfield,94533-5809,CA,(707) 421-4150,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,38.24515,-122.0627,Robin,Stewart,robins@fsusd.org,,,,,,,2015-06-18
48705406051163,0613360,01518,Active,Solano,Fairfield-Suisun Unified,Fairview Elementary,830 First Street,830 First St.,Fairfield,94533-4724,CA,830 First Street,830 First St.,Fairfield,94533-4724,CA,(707) 421-4165,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.250781,-122.05237,David,Marianno,davidm@fsusd.org,,,,,,,2015-06-18
48705406051189,0613360,01522,Active,Solano,Fairfield-Suisun Unified,Green Valley Middle,1350 Gold Hill Road,1350 Gold Hill Rd.,Fairfield,94534-6422,CA,1350 Gold Hill Road,1350 Gold Hill Rd.,Fairfield,94534-6422,CA,(707) 646-7000,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,1,38.17477,-122.13766,Kristen,Cherry,kristenc@fsusd.org,,,,,,,2015-08-21
48705406051197,0613360,01523,Active,Solano,Fairfield-Suisun Unified,K. I. Jones Elementary,2001 Winston Drive,2001 Winston Dr.,Fairfield,94534-3018,CA,2001 Winston Drive,2001 Winston Dr.,Fairfield,94534-3018,CA,(707) 421-4195,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-6,N,1,38.267852,-122.05956,Michelle,Labelle-Fisch,michellel@fsusd.org,,,,,,,2015-08-21
48705406051221,0613360,01528,Active,Solano,Fairfield-Suisun Unified,Suisun Valley Elementary,4985 Lambert Road,4985 Lambert Rd.,Fairfield,94534-9740,CA,4985 Lambert Road,4985 Lambert Rd.,Fairfield,94534-9740,CA,(707) 421-4338,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,38.289726,-122.11611,Jas,Bains Wright,jasw@fsusd.org,,,,,,,2016-07-20
48705406051239,0613360,01530,Active,Solano,Fairfield-Suisun Unified,Tolenas Elementary,4500 Tolenas Road,4500 Tolenas Rd.,Fairfield,94533-6615,CA,4500 Tolenas Road,4500 Tolenas Rd.,Fairfield,94533-6615,CA,(707) 421-4350,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.261117,-121.99819,Cara,Mendoza,caram@fsusd.org,,,,,,,2016-08-15
48705406093397,0613360,01521,Active,Solano,Fairfield-Suisun Unified,Grange Middle,1975 Blossom Avenue,1975 Blossom Ave.,Fairfield,94533-8010,CA,1975 Blossom Avenue,1975 Blossom Ave.,Fairfield,94533-8010,CA,(707) 438-1900,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,1,38.263698,-122.0149,Christine,Harrison,christineh@fsusd.org,,,,,,,2015-06-18
48705406100754,0613360,07283,Active,Solano,Fairfield-Suisun Unified,Suisun Elementary,725 Golden Eye Way,725 Golden Eye Way,Suisun City,94585-2029,CA,725 Golden Eye Way,725 Golden Eye Way,Suisun City,94585-2029,CA,(707) 421-4210,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-6,N,0,38.247824,-122.01245,Ann Marie,Neubert,annmarien@fsusd.org,,,,,,,2015-06-18
48705406106405,0613360,08837,Active,Solano,Fairfield-Suisun Unified,Oakbrook Elementary,700 Oakbrook Drive,700 Oakbrook Dr.,Fairfield,94534-6841,CA,700 Oakbrook Drive,700 Oakbrook Dr.,Fairfield,94534-6841,CA,(707) 863-7930,,www.fsusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,38.191338,-122.14346,Justine,Turner,justinet@fsusd.org,,,,,,,2015-08-21
48705406109128,0613360,09814,Active,Solano,Fairfield-Suisun Unified,Dan O. Root Elementary,820 Harrier Drive,820 Harrier Dr.,Suisun City,94585-3064,CA,820 Harrier Drive,820 Harrier Dr.,Suisun City,94585-3064,CA,(707) 421-4240,,www.fsusd.org,1990-07-09,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.249588,-121.9951,Julie,Reece,juliere@fsusd.org,,,,,,,2015-06-18
48705406109136,0613360,09815,Active,Solano,Fairfield-Suisun Unified,B. Gale Wilson Elementary,3301 Cherry Hills Court,3301 Cherry Hills Ct.,Fairfield,94534-7146,CA,3301 Cherry Hills Court,3301 Cherry Hills Ct.,Fairfield,94534-7146,CA,(707) 421-4225,,www.fsusd.org,1990-07-09,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,1,38.271771,-122.08003,David,Gutierrez,davidgu@fsusd.org,,,,,,,2015-07-01
48705406111405,0613360,02835,Active,Solano,Fairfield-Suisun Unified,Laurel Creek Elementary,2900 Gulf Drive,2900 Gulf Dr.,Fairfield,94533-8116,CA,2900 Gulf Drive,2900 Gulf Dr.,Fairfield,94533-8116,CA,(707) 421-4291,,www.fsusd.org,1993-08-02,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.282091,-122.01899,Todd,Bennet,toddb@fsusd.org,,,,,,,2015-06-18
48705406115752,0613360,07857,Active,Solano,Fairfield-Suisun Unified,Nelda Mundy Elementary,570 Vintage Valley Drive,570 Vintage Valley Dr.,Fairfield,94534-1416,CA,570 Vintage Valley Drive,570 Vintage Valley Dr.,Fairfield,94534-1416,CA,(707) 863-7920,,www.fsussd.org,1998-08-31,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,38.217911,-122.14701,George,Porter,georgep@fsusd.org,,,,,,,2015-08-21
48705654830022,0639630,06597,Active,Solano,Travis Unified,Travis Education Center,2775 DeRonde Drive,2775 DeRonde Dr.,Fairfield,94533-9710,CA,2775 DeRonde Drive,2775 DeRonde Dr.,Fairfield,94533-9710,CA,(707) 437-8265,,www.travisusd.org/domain/15,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,P,0,38.282956,-121.96051,Allyson,Rude Azevedo,arude@travisusd.org,,,,,,,2016-08-23
48705654830154,0639630,08641,Active,Solano,Travis Unified,Travis Community Day,2785 De Ronde Drive,2785 De Ronde Dr.,Fairfield,94533,CA,2785 De Ronde Drive,2785 De Ronde Dr.,Fairfield,94533,CA,(707) 437-8265,,www.travisusd.org/domain/15,2000-06-15,,0,,,54,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,7-12,10-12,P,0,38.28298,-121.96051,Allyson,Rude Azevedo,arude@travisusd.org,,,,,,,2016-08-17
48705654838801,0639630,06600,Active,Solano,Travis Unified,Vanden High,2951 Markeley Lane,2951 Markeley Ln.,Fairfield,94533-6513,CA,2951 Markeley Lane,2951 Markeley Ln.,Fairfield,94533-6513,CA,(707) 437-7333,,www.travisusd.org/domain/14,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,38.283235,-121.96929,William,Sarty,wsarty@travisusd.org,,,,,,,2016-08-22
48705656051254,0639630,06595,Active,Solano,Travis Unified,Center Elementary,3101 Markeley Ln,3101 Markeley Ln,Fairfield,94533-6676,CA,3101 Markeley Ln,3101 Markeley Ln,Fairfield,94533-6676,CA,(707) 437-4621,,www.travisusd.org/domain/9,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.28216,-121.95544,Clay,McAllester,cmcallester@travisusd.org,,,,,,,2016-08-22
48705656051262,0639630,06596,Active,Solano,Travis Unified,Golden West Middle,2651 De Ronde Drive,2651 De Ronde Dr.,Fairfield,94533-9709,CA,2651 De Ronde Drive,2651 De Ronde Dr.,Fairfield,94533-9709,CA,(707) 437-8240,,www.travisusd.org/domain/13,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,7-8,7-8,N,0,38.282658,-121.96051,Jackie,Tretten,jtretten@travisusd.org,,,,,,,2016-08-22
48705656051270,0639630,05418,Active,Solano,Travis Unified,Travis Elementary,100 Fairfield Avenue,100 Fairfield Ave.,Travis AFB,94535-1000,CA,100 Fairfield Avenue,100 Fairfield Ave.,Travis AFB,94535-1000,CA,(707) 437-2070,,www.travisusd.org/domain/12,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.272058,-121.93703,Deanna,Yasaki,dyasaki@travisusd.org,,,,,,,2016-08-22
48705656068290,0639630,06598,Active,Solano,Travis Unified,Scandia Elementary,100 Broadway Street,100 Broadway St.,Travis AFB,94535-1558,CA,100 Broadway Street,100 Broadway St.,Travis AFB,94535-1558,CA,(707) 437-4691,,www.travisusd.org/domain/11,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.274492,-121.94456,Mark,Pennington,mpennington@travisusd.org,,,,,,,2016-08-22
48705656103154,0639630,08998,Active,Solano,Travis Unified,Cambridge Elementary,100 Cambridge Drive,100 Cambridge Dr.,Vacaville,95687-6900,CA,100 Cambridge Drive,100 Cambridge Dr.,Vacaville,95687-6900,CA,(707) 446-9494,,www.travisusd.org/domain/8,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.3332,-121.95226,Susan,Nader,snader@travisusd.org,,,,,,,2016-08-22
48705656111652,0639630,02845,Active,Solano,Travis Unified,Foxboro Elementary,600 Morning Glory Drive,600 Morning Glory Dr.,Vacaville,95687-5300,CA,600 Morning Glory Drive,600 Morning Glory Dr.,Vacaville,95687-5300,CA,(707) 447-7883,,www.travisusd.org/domain/10,1993-08-30,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.326,-121.96514,Samantha,Chizauskie,schizauskie@travisusd.org,,,,,,,2016-08-22
48705730122523,0640590,12697,Active,Solano,Vacaville Unified,Alternative Cooperative Education Charter,400 Hemlock Street,400 Hemlock St.,Vacaville,95688-2616,CA,400 Hemlock Street,400 Hemlock St.,Vacaville,95688-2616,CA,(707) 453-6245,,www.ace-vusd-ca.schoolloop.com,2010-08-12,,1,1261,Locally funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.364557,-122.00149,Jennifer,Buzolich,jbuzolich@vacavilleusd.org,,,,,,,2016-07-20
48705730129494,0640590,13743,Active,Solano,Vacaville Unified,Kairos Public School Vacaville Academy,129 Elm Street,129 Elm St.,Vacaville,95688-6925,CA,129 Elm Street,129 Elm St.,Vacaville,95688-6925,CA,(707) 453-7234,,www.kairospublicschools.org,2014-08-14,,1,1635,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,38.352384,-121.99034,Jared,Austin,jaustin@kairospublicschools.org,,,,,,,2015-08-26
48705734830113,0640590,02846,Active,Solano,Vacaville Unified,Elise P. Buckingham Charter Magnet High,188-B Bella Vista Road,188-B Bella Vista Rd.,Vacaville,95687-3719,CA,188-B Bella Vista Road,188-B Bella Vista Rd.,Vacaville,95687-3719,CA,(707) 453-7300,,http://buckingham.vacavilleusd.org,1992-09-01,,1,0056,Locally funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,1,38.347828,-121.98784,Mike,Boles,mikeb@vacavilleusd.org,,,,,,,2016-10-10
48705736109094,0640590,10123,Active,Solano,Vacaville Unified,Jean Callison Elementary,6261 Vanden Road,6261 Vanden Rd.,Vacaville,95687-7294,CA,6261 Vanden Road,6261 Vanden Rd.,Vacaville,95687-7294,CA,(707) 453-6250,,http://callison.schoolloop.com/,1990-09-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,38.343458,-121.94295,Jeff,Crane,jeffc@vacavilleusd.org,,,,,,,2016-08-31
48705810115469,0640740,12088,Active,Solano,Vallejo City Unified,Vallejo Charter,2833 Tennessee Street,2833 Tennessee St.,Vallejo,94591-4948,CA,2833 Tennessee Street,2833 Tennessee St.,Vallejo,94591-4948,CA,(707) 556-8620,,www.vallejo.k12.ca.us,2007-08-21,,1,0940,Locally funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,1,38.109073,-122.21471,Carla,Galbraith,cgalbraith@vallejo.k12.ca.us,,,,,,,2016-08-02
48705814830196,0640740,10681,Active,Solano,Vallejo City Unified,MIT Academy,2 Positive Place,2 Positive Pl.,Vallejo,94589-1825,CA,2 Positive Place,2 Positive Pl.,Vallejo,94589-1825,CA,(707) 552-6482,,www.mitacademy.org,2001-09-04,,1,0372,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,38.150659,-122.24556,Matt,Smith,msmith@mitacademy.org,,,,,,,2015-06-18
48705816116255,0640740,08398,Active,Solano,Vallejo City Unified,Mare Island Technology Academy,2 Positive Place,2 Positive Pl.,Vallejo,94589-1825,CA,2 Positive Place,2 Positive Pl.,Vallejo,94589-1825,CA,(707) 552-6482,,www.mitacademy.org,1999-08-23,,1,0181,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,38.150659,-122.24556,Matt,Smith,msmith@mitacademy.org,,,,,,,2015-06-18
